Key,macOS,ChatGPT,Zed Editor,Zed Agent,Zed Terminal,Zed Git,Terminal,Figma,Things,Mail,Messages
Space,Open a Finder search window,,,,,,,,,,
Escape,Open Force Quit Applications,,,,,,,,,,
Return,,,,,,,,,Open selected link,,
Backspace,,,,Clear message queue,,,,,,,
Up,,,,,,,Go to previous bookmark,,Move selection to top,,
Down,,,,,,,Go to next bookmark,,Move selection to bottom,,
Left,,Switch to previous tab or chat,,,,,,,,,
Right,,Switch to next tab or chat,,,,,,,,,
Comma,,,Open settings file,,,,,,,,
Period,,,,Toggle fast mode,,,,,,,
Semicolon,,,Focus workspace sidebar,,,,,,,,
Apostrophe,,,,Choose thinking effort,,,,,,,
Slash,,,,Choose model,,,,,,,
A,,,,Open permission menu,,,,,,,
B,,Show or hide the Review panel,Toggle right dock,,,,,Detach instance,,Show or hide Bcc field,Show contact card
C,,Copy the current chat session ID,Copy path,Open agent settings,,,,,,,
D,Show or hide the Dock,,,,,,,,,,
E,,,Select enclosing symbol,,,,,,,,Email selected person
F,,,Find and replace,,,,,,,,
G,,,Toggle regular expression,,,,,,,,
I,,,Toggle developer inspector,,,,Edit background color,,,Append selected messages,Show conversation details
J,,,Toggle workspace sidebar,,,,,,,Erase Junk Mail,
K,,,,Toggle thinking mode,,,,Create component,Cancel selected items,,
L,,Copy a deeplink to the current chat,Find in selection,Manage skills,,,Clear to previous bookmark,,Create numbered list,,
M,,,,Toggle options menu,,,,,,,Mute or unmute conversation
N,,Start a lightweight chat,,,,,,,Create project,Open new Mail viewer,
O,,Start a standalone chat,Open recent project,,,,Toggle Option as Meta key,,,,
P,,Pin or unpin the current chat,,Manage profiles,,,,,,,
R,,Rename the current chat,Rerun task,,Rerun task,,Perform soft reset,,,Show or hide Reply-To field,
S,,Open the current chat in a side chat,Save all,,,,,Save to version history,,,
T,,,,,,,,,Show or hide toolbar,,
U,,Toggle the sidebar activity view,,,,,Mark as bookmark,,Strikethrough,,
V,,,,,,,,,Move copied items here,,
W,,,,,,,Close other tabs,,,Close all Mail windows,
Y,,,,Always allow / keep change,,Toggle staged state,,,,,
Z,,,,Reject change,,Restore and go next,,,,,
F5,Open Accessibility Shortcuts,,,,,,,,,,
