Key,macOS,ChatGPT,Zed Editor,Zed Agent,Zed Terminal,Zed Git,Terminal,Safari,Figma,Things,Mail,Messages,WhatsApp
Enter,,,Insert newline above / toggle all search results,Send immediately,,Amend commit,Send return without marking,Open address in active new tab,,,,,
Backspace,,,Go to previous change,Remove first queued message,,Remove selected thread,,,,,,,
Up,,,Select to beginning,,,,Hide alternate screen,,,,,,
Down,,,Select to end,,,,Show alternate screen,,,,,,
Left,,,Select to beginning of line,,,,,,,,,,
Right,,,Select to end of line,,,,,,,,,,
Semicolon,,,,,,,,,,,,Show Spelling and Grammar,
Backslash,,,,,,,Show all tabs,Show tab overview,,,,,
Left Bracket,,Switch to previous tab or chat,,,,,,Select previous tab,,,,,
Right Bracket,,Switch to next tab or chat,,,,,,Select next tab,,,,,
3,Capture the entire screen,,,,,,,,,,,,
4,Capture a selected area,,,,,,,,,,,,
5,Open Screenshot and screen recording controls,,,,,,,,,,,,
A,,Archive the current chat,Add folder to project,,,,Select between marks,,,,Attach files,,
B,,Toggle browser panel,Focus outline panel,,,,,,,,,,
C,,Copy working directory,,,,,Show or hide Colors,,,Create checklist,,,Open contacts
D,,Run environment action 1,Focus debug panel,,,,Close split pane,Add page to Reading List,,Set deadline,Send message,,
E,,Toggle file tree,Focus project panel,Focus project panel,Focus project panel,Focus project panel,,,Export,Show or hide later items,,Open video effects during a call,
F,,,Search project,Search project,Search project,Search project,,,,Find in note,,,Search current chat
G,,,Select previous search match,Select previous thread match,Select previous search match,Select previous search match,Find previous,,Ungroup,Find previous,,,
H,,,Search project with replace,Search project with replace,Search project with replace,Search project with replace,,Go to homepage,,,,,
I,,,Format document,Include ignored files in search,,,Edit window title,,,,,,
J,,,Toggle project-search filters,,,,,,,Format as code,,,
K,,,Delete line,,,,Open new remote connection,,Place image,Insert link,,,
L,,,Select all occurrences,,,,,,,Create bulleted list,,,
M,,,Show diagnostics,,,,Insert bookmark,,,Move to another list,,,Mute conversation
N,,Open a new window,Open new window,Open new thread menu,Open new window,Open new window,Run new command,,,Create heading,Get new mail,,Create group
O,,Start a new chat,Show outline,Create a task,,,,,Outline stroke,Open navigation popover,,,
P,,Open command menu,Open command palette,Open command palette,Open command palette,Open command palette,,,,,,,
Q,Log out,,,,,,,,,,,,
R,,Force reload the active browser page,Run task,,,,,Show Reader,Paste to replace,Set repetition,Reply all,,
S,,Start or stop trace recording,Save as,,,,Export selected text,,,,,,
T,,,Reopen closed tab,,,,Show or hide tab bar,Reopen last closed tab,Reopen last closed tab,Edit tags,Switch between plain and rich text,,
U,,,Redo selection,,,,Unmark,,,Highlight text,Mark read or unread,Mark read or unread,Mark read or unread
V,,,Open Markdown preview,Paste raw text,,,Paste selection,,,,Paste as quotation,,
W,,,Close window,Close window,Close window,Close window,Close window,,Close window,,,,
X,,,Open Extensions,,,,,,,,,,
Y,,,Unstage and go next,,,Unstage file,,,,Move completed items to Logbook,,,
Z,,Redo last action,Redo,,,Redo,,,Redo,,,,
