Key,ChatGPT,Zed Editor,Zed Agent,Zed Terminal,Zed Git,micro,Safari,Figma,Things,Messages,WhatsApp
Tab,Cycle to the previous recently viewed chat or tab,Open tab switcher at previous item,Open thread switcher at previous item,,Open tab switcher at previous item,,Select previous tab,Select previous tab,,Select previous conversation,Select previous chat
Space,,Show word completions,,Toggle vi mode,,,,,,,
Enter,,Insert newline below / run REPL,Insert newline below,,Open with system application,,,,,,
Backspace,,,,,Drop selected stash,,,,,,
Page Up,,Move tab left,,,,,,,,,
Page Down,,Move tab right,,,,,,,,,
Up,,Select to start of paragraph,,,,,,,,,
Down,,Select to end of paragraph,,,,,,,,,
Left,,Select smaller syntax node,,,,,,,,,
Right,,Select larger syntax node,,,,,,,,,
Minus,,,,,,Toggle comment,,,,,
Comma,,,,,,,,,Move deadline one week earlier,,
Period,,,,,,,,,Move deadline one week later,,
Left Bracket,,,,,,,,,Move start date one week earlier,,
Right Bracket,,,,,,,,,Move start date one week later,,
Slash,,,,,,,,Open keyboard shortcuts,,,
A,,Select to beginning of line,,,,,,,,,
B,,Extend selection left,,,,,,,,,
D,Start dictation,,Open Git diff,,,,,,,,
E,,Select to end of line,,,,,,,,,
F,,Extend selection right,,,,,,,,,
G,Open the review tab,Focus Git panel,Focus Git panel,Focus Git panel,Focus Git panel,,,,,,
M,Open model picker,,,,,,,,,,
N,,Extend selection down,,,,,,,,,
P,,Extend selection up,,,,,,,,,
R,,,Open agent diff,,,,,,,,
V,Toggle voice chat,,,,Show selected stash,,,,,,
