Key,macOS,ChatGPT,Zed Editor,Zed Agent,Zed Terminal,Zed Git,micro,fish,Safari,Figma,Things,Messages,WhatsApp
Tab,,Cycle to the next recently viewed chat or tab,,Open thread switcher,,,,,Select next tab,Select next tab,,Select next conversation,Select next chat
Grave,,Open the terminal panel,Toggle terminal panel,Toggle terminal panel,Toggle terminal panel,Toggle terminal panel,,,,,,,
Space,,,Show completions,,,,,,,,Open Quick Entry,,
Enter,,,Insert newline,Insert newline,Open inline assistant,,,,,,,,
Backspace,,,Delete previous word,,Delete previous word,Remove selected item,,,,,,,
Delete,,,Delete character forward,,Send forward-delete,,,,,,,,
Up,Open Mission Control,,,,,,,,,,,,
Down,Show windows of the current application,,,,,,,,,,,,
Left,Move to the space on the left,,,,,,,,,,,,
Right,Move to the space on the right,,,,,,,,,,,,
Comma,,,,,,,Previous tab,,,,Move deadline one day earlier,,
Period,,,,,,,Next tab,,,,Move deadline one day later,,
Semicolon,,,,Open Add Context menu,,,,,,,,,
Apostrophe,,,,Cycle thinking effort,,,,,,,,,
Left Bracket,,,,,,,,,,,Move start date one day earlier,,
Right Bracket,,,,,,,,,,,Move start date one day later,,
Slash,,,,,,,Toggle comment,,,,,,
Minus,,,Go back,Go back,,,,,,,,,
0,,,Activate last tab,,,,,,,,,,
1,,Switch to Chat,Activate tab 1,,,,,,,,,Show all conversations,
2,,Switch to Work,Activate tab 2,,,,,,,,,Show known senders,
3,,Switch to Codex,Activate tab 3,,,,,,,,,Show unknown senders,
4,,,Activate tab 4,,,,,,,,,Show unread conversations,
5,,,Activate tab 5,,,,,,,,,Show recently deleted,
6,,,Activate tab 6,,,,,,,,,,
7,,,Activate tab 7,,,,,,,,,,
8,,,Activate tab 8,,,,,,,,,,
9,,,Activate tab 9,,,,,,,,,,
A,,,Move to beginning of line,,,,Move to beginning of line,,,,,,
B,,,Move left,,,,,,,,,,
C,,,Cancel menu,,Interrupt running command,,,,,,,,
D,,,Delete character forward,,,,,,,,,,
E,,,Move to end of line,,,,Move to end of line,,,,,,
F,,,Move right,,,,,,,,,,
G,,,Go to line,,,,Open Go To command,,,,,,
H,,,Delete backward,,,,,,,,,,
J,,,Join lines,,,,,Accept command line,,,,,
K,,,Cut to kill ring,,,,,,,,,,
L,,Clear terminal,Center cursor,,,,,,,,,,
M,,,Move to matching bracket,,,,,,,,,,
N,,,Move down,,,,,,,,,,
O,,,,,,,,Open project,,,,,
P,,,Move up,,,,,,,,,,
R,,,Open recent projects,,Search command history,Refresh diagnostics,,Open history search,,,,,
T,,,Transpose characters,,,,,,,,,,
V,,,Move one page down,,,,,,,,,,
W,,,Delete previous word,,Delete previous word,,,,,,,,
Y,,,Yank from kill ring,,,,,,,,,,
F11,,,Step into,,,,,,,,,,
F12,,,Go to declaration,,,,,,,,,,
G Backspace,,,,,,Restore tracked files,,,,,,,
G D,,,,,,Open diff,,,,,,,
G Down,,,,,,Pull,,,,,,,
G G,,,,,,Fetch,,,,,,,
G Up,,,,,,Push,,,,,,,
