Key,Zed Editor,Zed Agent,Zed Terminal,Zed Git,micro,Safari,Figma,Things,Messages
Tab,Show or accept next edit prediction,Cycle favorite models,,Generate commit message,,Highlight the next webpage item,,,
Space,,,,,,,Select objects contained by selection box,,
Enter,Open selections in multibuffer,Insert newline,,Open selected item,,,,,Insert line break
Backspace,Delete to previous word,,,,,,,,
Delete,Delete to next word,,Delete next word,,,,,,
Up,Move line up,,,Focus changes,Previous paragraph,,,Select first item,
Down,Move line down,,,Focus editor,Next paragraph,,,Select last item,
Left,Move to previous word,,Move to previous word,,,,,,
Right,Move to next word,,Move to next word,,,,,,
Comma,,,,,Previous diff,,,,
Period,,,,,Next diff,,,,
Slash,,,,,Toggle comment,,,,
1,,,,,,,Open Layers panel,,
2,,,,,,,Open Assets panel,,
B,,,Move to previous word,,,,,,
D,,,,Compare marked files,,,,,
F,,,Move to next word,,,,,,
S,,,,,Find literal text,,,,
X,,,,,Open command mode,,,,
