Key,Zed Editor,Zed Agent,Zed Terminal,Zed Git,Safari,Figma,Things,Mail,Messages,WhatsApp
Tab,Move focus backward / previous snippet field,Cycle mode selector,,Move focus between changes and commit editor,,Move focus backward,Move focus backward,Move focus backward,Move focus backward,Move focus backward
Space,,,,Stage selected range,Scroll up one screen,,,,,
Escape,,Toggle zoom,,Expand commit editor,,,,,,
Enter,Insert newline / replace selected completion,Insert newline / select previous search match,,Toggle selected channel favorite,,,,,Insert line break,Insert line break
Backspace,Delete backward,Archive or remove selected thread,,,,,,,,
Home,Select to beginning of line,,Scroll to top,,,,,,,
End,Select to end of line,,Scroll to bottom,,,,,,,
Page Up,Extend selection one page up,Scroll to previous message,Scroll up one page,,,,,,,
Page Down,Extend selection one page down,Scroll to next message,Scroll down one page,,,,,,,
Up,Extend selection up,Select previous item / previous edit,Scroll up one line,,,,Extend selection upward,,,
Down,Extend selection down,Select next item / next edit,Scroll down one line,,,,Extend selection downward,,,
Left,Extend selection left,,,,,,,,,
Right,Extend selection right,,,,,,,,,
A,,,,,,Add auto layout,,,,
G,,,,,,Show or hide layout guides,,,,
H,,,,,,Flip horizontally,,,,
L,,,,,,Arrow tool,,,,
P,,,,,,Pencil tool,,,,
R,,,,,,Show or hide rulers,,,,
V,,,,,,Flip vertically,,,,
Backslash,,,,,,Show or hide side panels,,,,
F8,Go to previous diagnostic,,,,,,,,,
F9,Edit log breakpoint,,,,,,,,,
F11,Step out,,,,,,,,,
F12,Go to implementation,,,,,,,,,
