Key,macOS,ChatGPT,Zed Editor,Zed Agent,Zed Terminal,Zed Git,Terminal,Safari,Figma,Things,Mail,Messages,WhatsApp
Tab,Send Tab,,,,,,,,,,,,
Q,Type !; hold to type ¡,,,,,,,,,,,,
W,Type @,,,,,,,,,,,,
E,Type #,,,,,,,,,,,,
R,Type $; hold to type €,,,,,,,,,,,,
T,Type %,,,,,,,,,,,,
Y,Type ^,,,,,,,,,,,,
U,Type &,,,,,,,,,,,,
I,Type *,,,,,,,,,,,,
O,Type (,,,,,,,,,,,,
P,Type ),,,,,,,,,,,,
Left Bracket,Type _,,,,,,,,,,,,
Escape,Toggle Caps Word,,,,,,,,,,,,
A,Type 1,,,,,,,,,,,,
S,Type 2,,,,,,,,,,,,
D,Type 3,,,,,,,,,,,,
F,Type 4,,,,,,,,,,,,
G,Type 5,,,,,,,,,,,,
H,Type 6,,,,,,,,,,,,
J,Type 7,,,,,,,,,,,,
K,Type 8,,,,,,,,,,,,
L,Type 9,,,,,,,,,,,,
Semicolon,Type 0,,,,,,,,,,,,
Apostrophe,Type -,,,,,,,,,,,,
Z,Type \,,,,,,,,,,,,
X,Decrease display brightness,,,,,,,,,,,,
C,Increase display brightness,,,,,,,,,,,,
V,Type |,,,,,,,,,,,,
B,Play previous media track,,,,,,,,,,,,
N,Play next media track,,,,,,,,,,,,
M,Mute or unmute audio,,,,,,,,,,,,
Comma,Decrease audio volume,,,,,,,,,,,,
Period,Increase audio volume,,,,,,,,,,,,
Slash,Play or pause media,,,,,,,,,,,,
Equals,Open Mission Control,,,,,,,,,,,,
